Ansatz;Tag;pH;Plato;Plato_korr;Temperatur;Vol_prozent;;;;;;;;;
13;1;5,95;18;19,65;40;0;;;;;;;;;
13;3;4,32;16;17,63;40;1,11;;;;;;;;;
13;5;4,09;16,5;18,31;40;0,78;;;;;;;;;
13;7;3,95;16,5;18,31;40;0,78;;;;;;;;;
13;9;3,91;16;17,63;40;1,11;;;;;;;;;
13;11;3,89;16;17,63;40;1,11;;;;;;;;;
13;13;3,86;16;17,63;40;1,11;;;;;;;;;
13;15;3,81;16;17,63;40;1,11;;;;;;;;;
14;1;3,29;16;17,63;40;0;;;;;;;;;
14;3;3,33;15;16,62;40;0,55;;;;;;;;;
14;5;3,34;15;16,62;40;0,55;;;;;;;;;
14;7;3,32;15;16,62;40;0,55;;;;;;;;;
14;9;3,34;15;16,62;40;0,55;;;;;;;;;
14;11;3,34;15;16,62;40;0,55;;;;;;;;;
14;13;3,34;15;16,62;40;0,55;;;;;;;;;
14;15;3,33;15;16,62;40;0,55;;;;;;;;;
15;1;6,31;7;7,53;28;0;;;;;;;;;
15;15;4,06;7;7,53;28;0;;;;;;;;;
16;1;5,74;13;12,94;19;0;;;;;;;;;
16;2;5,35;12,5;12,44;19;0,26;;;;;;;;;
16;3;4,55;10;9,94;19;1,58;;;;;;;;;
16;4;4,31;7;6,94;19;3,17;;;;;;;;;
16;5;4,31;6;5,94;19;3,7;;;;;;;;;
16;6;4,32;6;5,94;19;3,7;;;;;;;;;
16;7;4,35;6;5,94;19;3,7;;;;;;;;;
16;8;4,32;6;5,94;19;3,7;;;;;;;;;
16;9;4,33;6;5,94;19;3,7;;;;;;;;;
17;1;5,74;13;13;20;0;;;;;;;;;
17;3;5,12;12;13,61;40;0;;;;;;;;;
17;5;4,69;11;12,6;40;0,21;;;;;;;;;
17;7;4,52;11;12,6;40;0,21;;;;;;;;;
17;9;4,46;11;12,6;40;0,21;;;;;;;;;
17;11;4,37;11;12,6;40;0,21;;;;;;;;;
17;13;4,27;11;12,6;40;0,21;;;;;;;;;
17;15;4,23;11;12,6;40;0,21;;;;;;;;;
18;1;5,95;18;19,65;40;0;;;;;;;;;
18;3;4,28;17;18,64;40;0,55;;;;;;;;;
18;5;4,04;17;18,64;40;0,55;;;;;;;;;
18;7;3,94;17;18,64;40;0,55;;;;;;;;;
18;9;3,89;17;18,64;40;0,55;;;;;;;;;
18;11;3,9;17;18,64;40;0,55;;;;;;;;;
18;13;3,85;16,5;18,13;40;0,83;;;;;;;;;
18;15;3,82;16,5;18,13;40;0,83;;;;;;;;;
19;1;3,29;16;17,63;40;0;;;;;;;;;
19;3;3,34;15;16,62;40;0,55;;;;;;;;;
19;5;3,31;15;16,62;40;0,55;;;;;;;;;
19;7;3,31;15;16,62;40;0,55;;;;;;;;;
19;9;3,33;15;16,62;40;0,55;;;;;;;;;
19;11;3,34;15;16,62;40;0,55;;;;;;;;;
19;13;3,34;15;16,62;40;0,55;;;;;;;;;
19;15;3,34;15;16,62;40;0,55;;;;;;;;;
20;1;6,31;7;7,53;28;0;;;;;;;;;
20;15;4,04;7;7,53;28;0;;;;;;;;;
